id,name,parent,sort_order
cat_tpgli,图片管理,cat_rjgju,224.0
cat_tpwzsbieocr,OCR图片文字识别,cat_rjgju,225.0
cat_dtlzhigif,GIF动图录制,cat_rjgju,226.0
cat_wxdkfchban40621,微信 4.0.6.21  多开 + 防撤回版,cat_rjgju,228.0
cat_azmnqi,安卓模拟器,cat_rjgju,230.0
cat_zmzli,桌面整理,cat_rjgju,231.0
cat_xzzmzcybfzmian,小智桌面（支持云备份桌面）,cat_zmzli,232.0
cat_cqcjiang,抽签抽奖,cat_rjgju,233.0
cat_cwxguan,财务相关,cat_rjgju,234.0
cat_dzlxi,打字练习,cat_rjgju,235.0
cat_jxcgli,进销存管理,cat_rjgju,236.0
cat_pkxtong,排课系统,cat_rjgju,237.0
cat_yhjzdzgnlecad2018pdfdwg,CAD2018以后就自带PDF转DWG功能了,cat_rjgju,239.0
cat_xlbgong,效率／办公,cat_shxxian,244.0
cat_qdfjzhong,清单／番茄钟,cat_xlbgong,245.0
cat_zjzhao,证件照,cat_xlbgong,246.0
cat_wdsmiao,文档扫描,cat_xlbgong,247.0
cat_yxiang,邮箱,cat_xlbgong,248.0
cat_bdwpnbban11163,百度网盘内部版 11.16.3,cat_xlbgong,249.0
cat_yyu,英语,cat_shxxian,251.0
cat_mryytlmywdkydpjbbyzqlszxhjyrzheng,每日英语听力没有稳定可用的破解版不要再求了！实在喜欢建议入正,cat_yyu,252.0
cat_tgxyybcdkcchfshi,听歌学英语（不错的扩充词汇方式）,cat_yyu,253.0
cat_axygzbdyyspinvdoenglishapp,VDO  English（阿虚用过最棒的英语视频APP）,cat_yyu,254.0
cat_zhydhycdianpleco,Pleco（最好用的汉英词典）,cat_yyu,255.0
cat_axzxhdyycdianvocabulary,Vocabulary（阿虚最喜欢的英英词典）,cat_yyu,256.0
cat_wscdfzdcbcdyycdianmerriamwebsterdictionary,韦氏词典 Merriam-Webster Dictionary（复杂单词必查的英英词典）,cat_yyu,257.0
cat_jzhao,驾照,cat_shxxian,258.0
cat_jshen,健身,cat_shxxian,259.0
cat_pthua,普通话,cat_shxxian,260.0
cat_kcbiao,课程表,cat_shxxian,261.0
cat_ktu1,抠图,cat_shxxian,263.0
cat_tttup,天天P图,cat_ktu1,264.0
cat_backgrouderaser,Backgroud Eraser,cat_ktu1,265.0
cat_tup,P图,cat_shxxian,266.0
cat_pjbanadobelightroom,Adobe Lightroom 破解版,cat_tup,267.0
cat_xwen,新闻,cat_shxxian,270.0
cat_xndwsbu,虚拟定位／刷步,cat_shxxian,276.0
cat_yydksjfshen,应用多开／手机分身,cat_shxxian,277.0
cat_ppazzdfsgneng,品牌安卓自带分身功能,cat_yydksjfshen,278.0
cat_mfsti,免费搜题,cat_shxxian,280.0
cat_yljkang,医疗健康,cat_shxxian,282.0
cat_zyxzzhanipa,IPA资源下载站,cat_yljkang,283.0
cat_zzyjzdlzcdffjlbysjitrollstoreios170,TrollStore 作者已经找到了支持 iOS 17.0的方法，尽量不要升级,cat_zyxzzhanipa,284.0
cat_ztglsrjian,只提供绿色软件,cat_cywzhan,291.0
cat_mfei,免费,cat_cywzhan,294.0
cat_bsfbmfei,半收费半免费,cat_cywzhan,295.0
cat_mfjlmbxzai,免费简历模板下载,cat_cywzhan,297.0
cat_mfzxjlzzuo,免费在线简历制作,cat_cywzhan,298.0
cat_hypchzu,会员拼车合租,cat_cywzhan,299.0
cat_dgou,导购,cat_cywzhan,301.0
cat_xygxjbmqbkkydyxwzssxgpckkplqdpjia,想要高性价比＆买前避坑：可以到以下网站搜搜相关评测，看看评论区的评价,cat_dgou,302.0
cat_flwzhan,返利网站,cat_cywzhan,303.0
cat_jyjlztzmygfflptsrflblknhdyddmyzjszcjiaｏｒ,建议尽量自推自买ｏｒ用官方返利平台：虽然返利比例可能会低一点，但没有中间商赚差价,cat_flwzhan,304.0
cat_lswpan,临时网盘,cat_cywzhan,306.0
cat_pjyxxzai,破解游戏下载,cat_cywzhan,308.0
cat_zxlyxi,在线老游戏,cat_cywzhan,309.0
cat_bqbao,表情包,cat_cywzhan,313.0
cat_dtu,地图,cat_cywzhan,314.0
cat_dxjmptai,短信接码平台,cat_cywzhan,315.0
cat_gzscqi,各种生成器,cat_cywzhan,316.0
cat_hsscqi,话术生成器,cat_gzscqi,317.0
cat_ztscqi,字体生成器,cat_gzscqi,318.0
cat_gjxzhan,工具箱站,cat_cywzhan,319.0
cat_lsyxwxyxiang,临时邮箱／无限邮箱,cat_cywzhan,320.0
cat_wzsduan,网址缩短,cat_cywzhan,321.0
cat_gjbzxybzhun,国家标准／行业标准,cat_cywzhan,322.0
cat_xybgao,行业报告,cat_cywzhan,323.0
cat_gjjggksju,国家机构公开数据,cat_xybgao,324.0
cat_lsxyxgbgao,零售行业相关报告,cat_xybgao,325.0
