id,name,parent,sort_order
mimaguanliwenjianjiami124,密码管理／文件加密,diannaoshoujichangyong68,10
RSSxiangguan125,RSS相关,diannaoshoujichangyong68,11
fanyixiangguan126,翻译相关,diannaoshoujichangyong68,12
shurufa127,输入法,diannaoshoujichangyong68,13
jiamiyinpinshipinjiema128,加密音频／视频解码,diannaoshoujichangyong68,14
bianshengqi129,变声器,diannaoshoujichangyong68,15
shuake130,刷课,diannaoshoujichangyong68,16
biji131,笔记,diannaoshoujichangyong68,17
zidonghua132,自动化,diannaoshoujichangyong68,18
kaoshixitong133,考试系统,diannaoshoujichangyong68,19
diannaochangyong134,电脑常用,,7
ruanjiandaquan135,软件大全,diannaochangyong134,1
Winruanjianxiazaizhan136,Win软件下载站,ruanjiandaquan135,1
Macruanjianxiazaizhan137,Mac软件下载站,ruanjiandaquan135,2
wanrendianzandeMacruanjiantuij138,万人点赞的Mac软件推荐项目,Macruanjianxiazaizhan137,1
zhengbanruanjiandazhequdao139,正版软件打折渠道,Macruanjianxiazaizhan137,2
mianfeiMacpojieruanjianxiazaiz140,免费Mac破解软件下载站,Macruanjianxiazaizhan137,3
Linuxruanjiantuijian141,Linux软件推荐,ruanjiandaquan135,3
Adoberuanjian142,Adobe软件,diannaochangyong134,2
yijiananzhuangban143,一键安装版,Adoberuanjian142,1
PSzaixianban144,PS在线版,Adoberuanjian142,2
PSdanwenjianban145,PS单文件版,Adoberuanjian142,3
xitongxiangguan146,系统相关,diannaochangyong134,3
xitongzhongzhuangPEgongju147,系统重装／PE工具,xitongxiangguan146,1
xitongjingxiang148,系统镜像,xitongxiangguan146,2
xitonghuanyuan149,系统还原,xitongxiangguan146,3
xuniji150,虚拟机,xitongxiangguan146,4
xitongqingli151,系统清理,xitongxiangguan146,5
xitongyouhua152,系统优化,xitongxiangguan146,6
shaduanquan153,杀毒／安全,xitongxiangguan146,7
shujuhuifu154,数据恢复,xitongxiangguan146,8
xitongxiufu155,系统修复,xitongxiangguan146,9
qudongguanli156,驱动管理,xitongxiangguan146,10
chuangkougongju157,窗口工具,xitongxiangguan146,11
fanglanguanghuyan158,防蓝光护眼,xitongxiangguan146,12
dianyuandianchiguanli159,电源电池管理,xitongxiangguan146,13
yingjianxiangguan160,硬件相关,diannaochangyong134,4
bijiben161,笔记本,yingjianxiangguan160,1
taishijizhuangji162,台式机装机,yingjianxiangguan160,2
zonghekepu163,综合科普,taishijizhuangji162,1
CPU164,CPU,taishijizhuangji162,2
zhuban165,主板,taishijizhuangji162,3
xianka166,显卡,taishijizhuangji162,4
yingpan167,硬盘,taishijizhuangji162,5
gutaiyingpan168,固态硬盘,yingpan167,1
jixieyingpan169,机械硬盘,yingpan167,2
sanre170,散热,taishijizhuangji162,6
dianyuan171,电源,taishijizhuangji162,7
jixiang172,机箱,taishijizhuangji162,8
xianshiqi173,显示器,taishijizhuangji162,9
zhuangjipeizhituijian174,装机配置推荐,taishijizhuangji162,10
zhuangjibuzhou175,装机步骤,taishijizhuangji162,11
yingjianjiance176,硬件检测,taishijizhuangji162,12
taishijizhengjigoumai177,台式机整机购买,yingjianxiangguan160,3
erji178,耳机,yingjianxiangguan160,4
jianpan179,键盘,yingjianxiangguan160,5
shubiao180,鼠标,yingjianxiangguan160,6
neicuntiao181,内存条,yingjianxiangguan160,7
luyouqi182,路由器,yingjianxiangguan160,8
wendangxiangguan183,文档相关,diannaochangyong134,5
Office184,Office,wendangxiangguan183,1
Officechajian185,Office插件,wendangxiangguan183,2
wendangquzhongduibi186,文档去重对比,wendangxiangguan183,3
wendangxiufu187,文档修复,wendangxiangguan183,4
siweidaotu188,思维导图,wendangxiangguan183,5
liuchengtu189,流程图,wendangxiangguan183,6
CAJzhuanhuan190,CAJ转换,wendangxiangguan183,7
wenxianguanli191,文献管理,wendangxiangguan183,8
baiban192,白板,wendangxiangguan183,9
tupianxiangguan193,图片相关,diannaochangyong134,6
kantu194,看图,tupianxiangguan193,1
jietu195,截图,tupianxiangguan193,2
pintu196,拼图,tupianxiangguan193,3
yasuofangda197,压缩／放大,tupianxiangguan193,4
geshizhuanhuan198,格式转换,tupianxiangguan193,5
